usuario,texto,entidade_mencionada,score_sentimento
489050ba-f6ce-4f05-a8ce-d6bdee47371a,ansiosa para o início do evento,Abertura,-0.1531
0075ff65-ea4f-498d-992f-ada2464aa615,ansiosa para o início do wit,Abertura,-0.1531
0075ff65-ea4f-498d-992f-ada2464aa615,maceió é massa,Organizacao,0.5423
df0c5066-4918-4384-bf21-9ba7343bf772,kkkkkkk,Organizacao,0.0
1e411a8b-4d32-4425-945d-09887c5071b8,mais uma edição do wit preparada com muito carinho,Engie,0.4588
1e411a8b-4d32-4425-945d-09887c5071b8,mais uma edição do wit preparada com muito carinho,Saudades,0.4588
1e411a8b-4d32-4425-945d-09887c5071b8,missões disponibilizadas,Organizacao,0.0
1e411a8b-4d32-4425-945d-09887c5071b8,partiu gamificação,Gamificacao,0.34
59ab6fbb-3356-44e7-a74e-e5bdbc89fab7,storygirl presente no wit2025,Storygirl,0.4404
59ab6fbb-3356-44e7-a74e-e5bdbc89fab7,storygirl presente no wit2025,Witcsbc2025,0.4404
f3eed192-b8ab-4094-942f-54e234fbb70b,coletivo lovelace presente no wit 🫶🏻,Lovelace,0.4404
0b4761ba-7672-4bde-89c3-74f013f2b163,vamos que vamos meninas,Mulheres,0.0
9d149e84-581a-4008-996e-d3680d5bcd88,o aplicativo está ótimo,Aplicativo,0.3612
9d149e84-581a-4008-996e-d3680d5bcd88,"fiquei com dificuldade de colocar itens na agenda pra missão, pois já tinha colocado antes",Desafios,-0.3182
9d149e84-581a-4008-996e-d3680d5bcd88,"fiquei com dificuldade de colocar itens na agenda pra missão, pois já tinha colocado antes",Organizacao,-0.3182
9d149e84-581a-4008-996e-d3680d5bcd88,"fiquei com dificuldade de colocar itens na agenda pra missão, pois já tinha colocado antes",Itens,-0.3182
9d149e84-581a-4008-996e-d3680d5bcd88,"fiquei com dificuldade de colocar itens na agenda pra missão, pois já tinha colocado antes",Agenda,-0.3182
9d149e84-581a-4008-996e-d3680d5bcd88,"marcar de novo, não deu certo",Novo,-0.0258
a24b5393-ee39-4272-8f84-7f95fa794341,ansiosa pelas novidades do wit,Novo,0.0
599e5dc6-fa67-4845-a44e-539c244937fc,as meninas da gamificação são incríveis,Mulheres,0.0
599e5dc6-fa67-4845-a44e-539c244937fc,as meninas da gamificação são incríveis,Gamificacao,0.0
8ac171ff-ae8c-4709-899e-93e23ba84729,só felicidades,Saudades,0.5106
06f1249e-61d1-4916-a745-f29b8095822b,"organização, animação",Animacao,0.0
06f1249e-61d1-4916-a745-f29b8095822b,"organização, animação",Organizacao,0.0
06f1249e-61d1-4916-a745-f29b8095822b,"energia das meninas, tudo impecável",Mulheres,0.296
06f1249e-61d1-4916-a745-f29b8095822b,"energia das meninas, tudo impecável",Energia,0.296
06f1249e-61d1-4916-a745-f29b8095822b,maravilhoso ❤️❤️ tou amando fazer parte disso,Organizacao,0.8591
06f1249e-61d1-4916-a745-f29b8095822b,animada pra aproveitar cada coisinha desse evento maravilhoso,Organizacao,0.6705
b0bd5290-3dd4-4593-99b9-c1055814408b,super animada para aproveitar cada momento desse evento❤️,Momento,0.5106
b0bd5290-3dd4-4593-99b9-c1055814408b,super animada para aproveitar cada momento desse evento❤️,Super,0.5106
ed496342-5088-4e03-9bf6-270dbfd06758,abertura do wit tá com clima descontraído,Abertura,0.4404
ed496342-5088-4e03-9bf6-270dbfd06758,abertura do wit tá com clima descontraído,Ambiente,0.4404
ed496342-5088-4e03-9bf6-270dbfd06758,muito bonita decoração do palco <3,Decoracao,0.7269
ed496342-5088-4e03-9bf6-270dbfd06758,muito bonita decoração do palco <3,Palestra,0.7269
b8b92070-a5ba-4bca-ab6c-1976294cf8da,que felicidade estar junto a tantas mulheres potentes,Mulheres,0.5106
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,"a palestra do wit está sensacional, que seja uma experiência proveitosa para conhecer mulheres em todo o brasil",Experiencia,-0.2263
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,"a palestra do wit está sensacional, que seja uma experiência proveitosa para conhecer mulheres em todo o brasil",Brasil,-0.2263
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,"a palestra do wit está sensacional, que seja uma experiência proveitosa para conhecer mulheres em todo o brasil",Palestra,-0.2263
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,"a palestra do wit está sensacional, que seja uma experiência proveitosa para conhecer mulheres em todo o brasil",Mulheres,-0.2263
268e12fc-6012-41e0-9301-483b58059c69,podemos chegar a todos os lugares,Area,0.0
94e79e36-97e0-4aa4-b033-298dd22658d1,parabéns à organização do wit por cuidarem com tanto carinho do evento,Saudades,0.7845
94e79e36-97e0-4aa4-b033-298dd22658d1,parabéns à organização do wit por cuidarem com tanto carinho do evento,Organizacao,0.7845
01bdf958-26a8-4cbb-9001-f8323dd02301,que mulheres maravilhosas,Mulheres,0.0
5bb974d7-0d42-4ba7-b115-6f2821843ecc,ansiosa por esses três dias,Organizacao,0.0
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,espero sair desse evento bem representada por ser mulher na área de tecnologia,Mulheres,0.2263
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,espero sair desse evento bem representada por ser mulher na área de tecnologia,Tecnologia,0.2263
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,espero sair desse evento bem representada por ser mulher na área de tecnologia,Area,0.2263
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,que tenha mais visibilidade em relação aos debates,Debates,0.0
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,que tenha mais visibilidade em relação aos debates,Organizacao,0.0
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,que tenha mais visibilidade em relação aos debates,Visibilidade,0.0
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,a palestra do wit no congresso foi extremamente inspiradora,Palestra,0.0
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,a palestra do wit no congresso foi extremamente inspiradora,Congresso,0.0
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,ver mulheres compartilhando seus desafios na tecnologia reforça a importância de promover mais equidade,Organizacao,0.802
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,ver mulheres compartilhando seus desafios na tecnologia reforça a importância de promover mais equidade,Mulheres,0.802
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,ver mulheres compartilhando seus desafios na tecnologia reforça a importância de promover mais equidade,Equidade,0.802
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,ver mulheres compartilhando seus desafios na tecnologia reforça a importância de promover mais equidade,Desafios,0.802
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,ver mulheres compartilhando seus desafios na tecnologia reforça a importância de promover mais equidade,Tecnologia,0.802
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,representatividade na área,Representatividade,0.0
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,representatividade na área,Area,0.0
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,que energia maravilhosa na palestra do wit,Energia,0.7717
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,que energia maravilhosa na palestra do wit,Palestra,0.7717
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,sair desse espaço me fez lembrar por que escolhi estar na tecnologia,Organizacao,-0.0516
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,sair desse espaço me fez lembrar por que escolhi estar na tecnologia,Tecnologia,-0.0516
adec314d-1120-4e55-985a-8bdbbf48be55,"gurias na computação, presente",Computacao,0.4404
adec314d-1120-4e55-985a-8bdbbf48be55,"gurias na computação, presente",Organizacao,0.4404
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,participar do wit é uma experiência enriquecedora,Experiencia,0.0
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"estar ao lado de tantas mulheres incríveis, conhecendo suas trajetórias, desafios",Mulheres,0.0772
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"estar ao lado de tantas mulheres incríveis, conhecendo suas trajetórias, desafios",Desafios,0.0772
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"estar ao lado de tantas mulheres incríveis, conhecendo suas trajetórias, desafios",Trajetoria,0.0772
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"estar ao lado de tantas mulheres incríveis, conhecendo suas trajetórias, desafios",Organizacao,0.0772
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,conquistas na área da tecnologia,Area,0.0
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,conquistas na área da tecnologia,Tecnologia,0.0
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,conquistas na área da tecnologia,Sucessos,0.0
1bfbf56f-28e4-4dee-874f-83823030bda3,"segunda edição que participo do wit,",Engie,0.0
1bfbf56f-28e4-4dee-874f-83823030bda3,"segunda edição que participo do wit,",Inclusao,0.0
1bfbf56f-28e4-4dee-874f-83823030bda3,"como na edição passada, o evento está lindo",Engie,0.5423
1bfbf56f-28e4-4dee-874f-83823030bda3,as mulheres que fazem isso acontecer são uma grande inspiração para mim,Mulheres,0.6486
1bfbf56f-28e4-4dee-874f-83823030bda3,as mulheres que fazem isso acontecer são uma grande inspiração para mim,Inspiracao,0.6486
6e490da9-d604-49fa-b782-7cc09c1615d3,esse evento é extremamente importante para que mulheres de tecnologias se vejam representadas,Mulheres,0.1815
6e490da9-d604-49fa-b782-7cc09c1615d3,esse evento é extremamente importante para que mulheres de tecnologias se vejam representadas,Tecnologia,0.1815
6e490da9-d604-49fa-b782-7cc09c1615d3,espero em breve fazer parte do grupo de projetos associados às meninas digitais,Mulheres,0.0
6e490da9-d604-49fa-b782-7cc09c1615d3,espero em breve fazer parte do grupo de projetos associados às meninas digitais,Projetos,0.0
6e490da9-d604-49fa-b782-7cc09c1615d3,espero em breve fazer parte do grupo de projetos associados às meninas digitais,Organizacao,0.0
6e490da9-d604-49fa-b782-7cc09c1615d3,espero em breve fazer parte do grupo de projetos associados às meninas digitais,Grupo,0.0
6e490da9-d604-49fa-b782-7cc09c1615d3,muito significado estar num evento que valoriza mulheres na tecnologia,Fato,0.2732
6e490da9-d604-49fa-b782-7cc09c1615d3,muito significado estar num evento que valoriza mulheres na tecnologia,Mulheres,0.2732
6e490da9-d604-49fa-b782-7cc09c1615d3,muito significado estar num evento que valoriza mulheres na tecnologia,Tecnologia,0.2732
ae163e36-169f-44a1-8c73-558123924278,incrível ouvir de uma mulher na área de cibersegurança,Mulheres,0.6705
ae163e36-169f-44a1-8c73-558123924278,incrível ouvir de uma mulher na área de cibersegurança,Ciberseguranca🩷,0.6705
ae163e36-169f-44a1-8c73-558123924278,incrível ouvir de uma mulher na área de cibersegurança,Area,0.6705
ae163e36-169f-44a1-8c73-558123924278,inspiração,Inspiracao,0.4404
ae163e36-169f-44a1-8c73-558123924278,boa ideia de gamificação,Ideia,0.0
ae163e36-169f-44a1-8c73-558123924278,boa ideia de gamificação,Gamificacao,0.0
ae163e36-169f-44a1-8c73-558123924278,dinâmica atraente,Dinamica,0.1027
934ac1e9-8a9e-4865-977f-b22e4bbce84e,uhuuul ansiosa por toda a programação,Programacao,0.0
0075ff65-ea4f-498d-992f-ada2464aa615,muito show a abertura,Abertura,0.7096
c2b6bd29-c4b7-4ad9-ab56-0ec11fd42341,muita emoção neste inicio do wit,Abertura,0.3612
c2b6bd29-c4b7-4ad9-ab56-0ec11fd42341,muita emoção neste inicio do wit,Pena,0.3612
c90f49e7-30eb-4954-bad6-ff13e4342a57,ansiosa para todos esses dias,Organizacao,-0.1531
ed496342-5088-4e03-9bf6-270dbfd06758,abertura está cheia de momentos especiais 🤩,Abertura,0.34
ed496342-5088-4e03-9bf6-270dbfd06758,abertura está cheia de momentos especiais 🤩,Momento,0.34
97bb898c-af32-4429-b56c-5914309a8775,muito feliz de conhecer mulheres tão incríveis,Mulheres,0.6249
ae4d3fbb-069f-4906-895d-6ff10de1bdb9,"ótima palestra de abertura, tudo muito bem explicado",Abertura,0.5423
ae4d3fbb-069f-4906-895d-6ff10de1bdb9,"ótima palestra de abertura, tudo muito bem explicado",Palestra,0.5423
ae4d3fbb-069f-4906-895d-6ff10de1bdb9,a equipe é super divertida,Equipe,0.765
412301d3-9406-4057-b8ca-f6c63f066ec3,adorei com certeza venho nas próximas edições,Engie,0.25
ec75f459-7b9d-4c5e-a6c6-7e8f15491c4b,"palestras muito interessantes, parabens",Palestra,0.5994
b276ced5-ff2f-4c66-821d-f7751ca3e6d8,amando a vibe boa do wit,Organizacao,0.7845
c8ddbe59-a031-4194-add3-db3071ddcbef,amando a abertura do wit,Abertura,0.7506
c8ddbe59-a031-4194-add3-db3071ddcbef,meninas na computação,Mulheres,0.0
c8ddbe59-a031-4194-add3-db3071ddcbef,meninas na computação,Computacao,0.0
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"estar no wit foi mais do que participar de um evento — foi se reconhecer em histórias, se inspirar em trajetórias",Trajetoria,0.5719
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"estar no wit foi mais do que participar de um evento — foi se reconhecer em histórias, se inspirar em trajetórias",Artigos,0.5719
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,renovar o compromisso com a transformação que queremos ver na tecnologia,Transformacao,0.0
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,renovar o compromisso com a transformação que queremos ver na tecnologia,Apoio,0.0
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,renovar o compromisso com a transformação que queremos ver na tecnologia,Tecnologia,0.0
412301d3-9406-4057-b8ca-f6c63f066ec3,amei a ideia de sorteios,Ideia,0.3818
412301d3-9406-4057-b8ca-f6c63f066ec3,amei a ideia de sorteios,Organizacao,0.3818
412301d3-9406-4057-b8ca-f6c63f066ec3,brindes,Sessao,0.4215
de8d707d-b7b7-43bd-9191-a060a88bb761,"que evento incrível, animada para as próximas atividades 🤩",Eventos,0.6908
d9d06ba9-ddc7-49e3-8ff8-cfc02ea63d0f,tô animada demaaais pra conhecer os projetos,Animada,0.0
d9d06ba9-ddc7-49e3-8ff8-cfc02ea63d0f,tô animada demaaais pra conhecer os projetos,Projetos,0.0
d9d06ba9-ddc7-49e3-8ff8-cfc02ea63d0f,ver os artigos,Artigos,0.0
16d2d16a-6864-4d0c-afe3-d87991308ec5,"eu acho que pelo menos no último ano, além de ouvir comentários, o número de meninas na área da computação tem diminuido, ou seja, é muito bom a presença do wit para continuar ajudando as mulheres",Numeros,0.5719
16d2d16a-6864-4d0c-afe3-d87991308ec5,"eu acho que pelo menos no último ano, além de ouvir comentários, o número de meninas na área da computação tem diminuido, ou seja, é muito bom a presença do wit para continuar ajudando as mulheres",Organizacao,0.5719
16d2d16a-6864-4d0c-afe3-d87991308ec5,"eu acho que pelo menos no último ano, além de ouvir comentários, o número de meninas na área da computação tem diminuido, ou seja, é muito bom a presença do wit para continuar ajudando as mulheres",Mulheres,0.5719
16d2d16a-6864-4d0c-afe3-d87991308ec5,"eu acho que pelo menos no último ano, além de ouvir comentários, o número de meninas na área da computação tem diminuido, ou seja, é muito bom a presença do wit para continuar ajudando as mulheres",Pouquinho,0.5719
16d2d16a-6864-4d0c-afe3-d87991308ec5,"eu acho que pelo menos no último ano, além de ouvir comentários, o número de meninas na área da computação tem diminuido, ou seja, é muito bom a presença do wit para continuar ajudando as mulheres",Area,0.5719
16d2d16a-6864-4d0c-afe3-d87991308ec5,"eu acho que pelo menos no último ano, além de ouvir comentários, o número de meninas na área da computação tem diminuido, ou seja, é muito bom a presença do wit para continuar ajudando as mulheres",Computacao,0.5719
4270590b-ac53-434d-88eb-f948b87a7247,muito massa a inclusão que o wit,Inclusao,0.5423
4270590b-ac53-434d-88eb-f948b87a7247,"o meninas digitais proporciona, por mais movimentos assim",Mulheres,0.0
4270590b-ac53-434d-88eb-f948b87a7247,"o meninas digitais proporciona, por mais movimentos assim",Movimentos,0.0
537d3fe2-2cd9-4d63-a1cf-6c6d288411ff,espero vcs no wit 2027 que será em manaus,Organizacao,0.0
537d3fe2-2cd9-4d63-a1cf-6c6d288411ff,espero vcs no wit 2027 que será em manaus,Vcs,0.0
537d3fe2-2cd9-4d63-a1cf-6c6d288411ff,fabiola somos as coordenadoras do csbc,Simposio,0.0
16d2d16a-6864-4d0c-afe3-d87991308ec5,acho essa palestra super necessária,Palestra,0.5994
cd5e94b1-51c2-4147-a20b-9e1345a0adad,eu ameiii a abertura foi muito legal,Abertura,0.4404
cd5e94b1-51c2-4147-a20b-9e1345a0adad,eu amo estar nesses ambientes,Ambiente,0.6705
cd5e94b1-51c2-4147-a20b-9e1345a0adad,entusiasmo em continuar na área,Animada,0.4404
cd5e94b1-51c2-4147-a20b-9e1345a0adad,entusiasmo em continuar na área,Area,0.4404
4270590b-ac53-434d-88eb-f948b87a7247,"muito bom ver tantas garotas entrando nesse mercado, que esse número continue crescendo",Mulheres,0.5859
4270590b-ac53-434d-88eb-f948b87a7247,"muito bom ver tantas garotas entrando nesse mercado, que esse número continue crescendo",Numeros,0.5859
4270590b-ac53-434d-88eb-f948b87a7247,"muito bom ver tantas garotas entrando nesse mercado, que esse número continue crescendo",Mercado,0.5859
d230aaa6-976f-49bd-bb8a-21d45dec64ab,parabéns sobre a iniciativa,Projetos,0.5994
cd5e94b1-51c2-4147-a20b-9e1345a0adad,"a pesquisa sobre cyber segurança eu amooo 
é a área que pretendo seguir com toda certeza",Organizacao,0.6124
cd5e94b1-51c2-4147-a20b-9e1345a0adad,"a pesquisa sobre cyber segurança eu amooo 
é a área que pretendo seguir com toda certeza",Area,0.6124
cd5e94b1-51c2-4147-a20b-9e1345a0adad,"a pesquisa sobre cyber segurança eu amooo 
é a área que pretendo seguir com toda certeza",Pesquisa,0.6124
d230aaa6-976f-49bd-bb8a-21d45dec64ab,gostei da escolha da michelle para a palestra de abertura,Abertura,0.5574
d230aaa6-976f-49bd-bb8a-21d45dec64ab,gostei da escolha da michelle para a palestra de abertura,Escolha,0.5574
d230aaa6-976f-49bd-bb8a-21d45dec64ab,gostei da escolha da michelle para a palestra de abertura,Palestra,0.5574
d230aaa6-976f-49bd-bb8a-21d45dec64ab,gostei da escolha da michelle para a palestra de abertura,Organizacao,0.5574
1bfbf56f-28e4-4dee-874f-83823030bda3,"amei a ideia do app da gamificação, é legal visualizar as missões que precisamos completar",Gamificacao,0.4767
1bfbf56f-28e4-4dee-874f-83823030bda3,"amei a ideia do app da gamificação, é legal visualizar as missões que precisamos completar",Ideia,0.4767
1bfbf56f-28e4-4dee-874f-83823030bda3,"amei a ideia do app da gamificação, é legal visualizar as missões que precisamos completar",Aplicativo,0.4767
1bfbf56f-28e4-4dee-874f-83823030bda3,"amei a ideia do app da gamificação, é legal visualizar as missões que precisamos completar",Organizacao,0.4767
6c3e12ff-eaca-45fd-ab7c-b291f088c86e,quantas mulheres incríveis em um só lugar,Mulheres,0.0
6c3e12ff-eaca-45fd-ab7c-b291f088c86e,quantas mulheres incríveis em um só lugar,Area,0.0
6c3e12ff-eaca-45fd-ab7c-b291f088c86e,muito animada com a gamificação,Gamificacao,0.0
d32d63c1-02f8-4d06-9fdb-6dfed1c37967,acho legal a ideia de mostrar por quem está por trás do evento,Ideia,-0.34
d32d63c1-02f8-4d06-9fdb-6dfed1c37967,é muito bom ver como várias mulheres se esforçaram para fazer esse evento acontecer com a melhor qualidade,Mulheres,0.6249
d32d63c1-02f8-4d06-9fdb-6dfed1c37967,é muito bom ver como várias mulheres se esforçaram para fazer esse evento acontecer com a melhor qualidade,Qualidade,0.6249
908bb7b4-88ca-4d4c-83d1-513a4e11c569,estou amandooo,Organizacao,0.0
908bb7b4-88ca-4d4c-83d1-513a4e11c569,que experiência incrível,Experiencia,0.6705
5ca22f49-b601-4a36-81af-dba71e05cf97,mulheres maravilhosas,Mulheres,0.0
c5f537b2-2d25-4784-88c0-7d434cd447d9,o mermãs digitais já chegou por aqui,Organizacao,0.0
908bb7b4-88ca-4d4c-83d1-513a4e11c569,csbc arrasou nos brindes,Sessao,0.7783
fa22c635-07b6-4718-9309-2665ad2d1a12,minascoders no wit,Minascoders,0.0
c5f537b2-2d25-4784-88c0-7d434cd447d9,o @mermasdigitais quer conhecer cada um de vocês,Palestrantes,0.0772
c5f537b2-2d25-4784-88c0-7d434cd447d9,o @mermasdigitais quer conhecer cada um de vocês,@mermasdigitais,0.0772
c5f537b2-2d25-4784-88c0-7d434cd447d9,"então já corre lá no instagram da um oi pra gente, mermã",Merma,0.0
